,77470,76430,76500,76900,161530,161580,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8025,8019,8416Y,8414A,8500A,9981A,0016A,76,0200E,B893,B228,B278
1990-08-04,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
1990-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1990-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1991-06-14,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1991-06-15,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1991-06-16,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1991-06-25,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
1991-06-26,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
1991-06-27,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1991-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1991-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1991-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1991-07-18,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-19,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1991-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1991-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,
1991-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,
1991-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,
1991-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1991-08-14,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1991-08-15,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
1991-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
1991-08-17,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1991-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1991-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
1991-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1991-08-24,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,
1991-08-25,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,
1991-08-26,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0
1991-08-27,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
1991-08-28,1.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0
1991-08-29,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
1991-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0
1991-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0
1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1992-07-28,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-07-29,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-07-30,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-07-31,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1992-08-01,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1992-08-02,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,
1992-08-03,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,
1992-08-04,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,
1992-08-05,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,
1992-08-06,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
1992-08-07,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
1992-08-08,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1992-08-09,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1992-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1992-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
1992-08-22,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1992-08-23,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0
1992-08-24,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0
1992-08-25,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0
1992-08-26,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0
1992-08-27,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,
1992-08-28,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,
1992-08-29,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1993-06-05,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-06,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-07,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-08,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-09,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-18,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-20,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-27,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,
1993-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
1993-07-03,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-04,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-05,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-02,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-03,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1993-08-04,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0
1993-08-05,,,1.0,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0
1993-08-06,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,1.0
1993-08-07,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0
1993-08-08,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,
1993-08-17,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-18,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0
1993-08-19,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0
1993-08-20,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0
1993-08-21,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0
1993-08-22,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
1993-08-23,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
1993-08-24,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
1993-08-25,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
1993-08-26,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-27,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-01,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-02,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-03,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1994-06-04,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1994-06-05,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1994-06-17,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1994-06-18,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1994-06-19,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1994-06-22,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-23,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-24,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-25,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-26,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-29,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0
1994-07-01,1.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
1994-07-02,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1994-07-03,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1994-07-04,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1994-07-05,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
1994-07-06,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0
1994-07-07,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1994-07-10,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-13,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1994-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,
1994-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
1994-07-16,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0
1994-07-17,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
1994-07-18,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1994-07-26,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
1994-07-27,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
1994-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
1994-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1994-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1994-08-03,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-04,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-05,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,
1994-08-06,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
1994-08-07,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,
1994-08-08,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,
1994-08-09,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
1994-08-10,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,
1994-08-11,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,
1994-08-12,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,
1994-08-13,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
1994-08-14,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1994-08-15,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1994-08-16,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,
1994-08-17,,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,
1994-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1994-08-20,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0
1994-08-21,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0
1994-08-22,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0
1994-08-23,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0
1994-08-24,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
1994-08-27,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-28,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0
1994-08-29,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
1994-08-30,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
1994-08-31,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
1994-09-01,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1994-09-02,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995-07-19,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1995-07-20,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1995-07-21,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1995-07-23,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-24,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-25,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-26,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-27,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1995-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1995-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1995-08-05,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1995-08-06,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1995-08-07,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1995-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1996-06-04,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-08,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-09,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-10,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1996-06-11,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
1996-06-12,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,
1996-06-13,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,
1996-06-14,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,
1996-06-15,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-16,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-17,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1996-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,
1996-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1996-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1996-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1996-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1996-07-23,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1996-07-24,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1996-07-25,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
1996-07-26,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1996-07-27,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1997-06-08,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1997-06-09,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1997-06-10,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
1997-06-11,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1997-06-12,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,
1997-06-14,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,
1997-06-15,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1997-06-16,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
1997-06-17,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
1997-06-18,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-14,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1997-07-16,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1997-08-08,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-09,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1997-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1997-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
1998-06-01,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1998-06-02,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-03,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-04,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
1998-06-05,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1998-06-06,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-21,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-22,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1998-06-24,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1998-06-27,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
1998-06-28,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,
1998-06-29,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,
1998-06-30,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,
1998-07-01,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
1998-07-02,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,
1998-07-03,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,
1998-07-21,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-22,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-23,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
