Lon;Lat;ID;Name;ERA5 Lon;ERA5 Lat
2.87;42.74;77470;RIVESALTES;2.75;42.75
3.96;43.58;76430;MEDITERRANEE;3.75;43.75
5.21;43.44;76500;PROVENCE;5.5;43.75
7.22;43.66;76900;COTE  D  AZUR;7;43.75
8.17;43.95;161530;CAPE  MELE;8;44
11.17;42.38;161680;MOUNT  ARGENTARIO;11.5;42.5
12.25;41.8;162420;FIUMICINO;12.75;42
12.45;41.66;162450;PRATICA  DI  MARE;12.75;41.75
14.3;40.85;162890;NAPOLI/CAPODICHINO;14.5;41
15.28;40.02;163100;CAPE  PALINURO;15.5;40.25
12.49;37.91;164290;TRAPANI  BIRGI;12.75;37.75
13.09;38.18;164050;PALERMO;13.25;38
9.41;41.92;77650;SOLENZARA;9.25;42
9.1;41.5;77800;SUD  CORSE;9;41.75
8.8;41.92;77610;CAMPO  DELL  ORO;9;42
9.05;39.25;165600;ELMAS;9;39.75
8.97;39.35;165460;DECIMOMANNU;9;39.75
8.29;40.63;165200;ALGHERO;8.75;40.5
-0.62;35.62;604900;ES  SENIA;-0.5;35.25
3.22;36.69;603900;HOUARI  BOUMEDIENE;3.25;36.5
5.21;36.71;604020;SOUMMAM;5;36.5
7.81;36.82;603600;ANNABA;7.75;36.75
10.23;36.85;607150;CARTHAGE;10;36.75
-4.48;36.67;6155A;MALAGA AIRPORT;-4.75;36.75
-2.36;36.85;6325O;ALMERIA AIRPORT;-2.5;37
-0.8;37.79;7031;SAN JAVIER AIRPORT;-1;37.75
-0.57;38.28;8019;ALICANTE AIRPORT;-0.75;38.25
-0.49;38.37;8025;ALICANTE CIUDAD JARDIN;-0.5;38.5
-0.47;39.48;8414A;VALENCIA AIRPORT;-0.5;39.5
-0.36;39.48;8416;VALENCIA VIVEROS;-0.5;39.5
-0.07;39.96;8500A;CASTELLON ALMASSORA;-0.25;40
0.49;40.82;9981A;TORTOSA;0.5;40.75
1.16;41.15;0016A;REUS AIRPORT;1.25;41.25
2.07;41.29;76;BARCELONA AIRPORT;2;41.5
2.12;41.42;0200E;BARCELONA FABRA;2;41.5
4.22;39.85;B893;MENORCA AIRPORT;4;40
2.74;39.56;B278;PALMA MALLORCA AIRPORT;3;39.75
2.63;39.56;B228;PALMA MALLORCA PORT;3;39.75
1.38;38.88;B954;IBIZA AIRPORT;1.5;39
