time,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-01-30,A,AE,AE,AE,AE,NE,NE,NE,NE,E,N,NE,NE,NE,NE,NE,NE,NE,A,A,ANE,A,NE,SE,SE,SE,SE,SE,ASE,ASE,ASE,ASE,ASE,A,A,AE,A,A,A
1981-01-31,A,AE,ANE,AE,AE,NE,NE,NE,NE,NE,N,NE,ANE,NE,ANE,NE,NE,NE,ASE,A,A,A,NE,SE,SE,ASE,ASE,ASE,A,A,A,A,A,A,A,A,A,A,A
1981-10-02,NW,NW,CW,CW,CW,CSW,SW,SW,SW,SW,SW,SW,CW,W,W,W,W,CW,A,C,NW,W,C,ANW,ANW,ANW,ANW,ANW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1981-10-03,W,W,W,W,W,W,W,W,W,W,AW,AW,W,W,W,W,W,W,A,AW,AW,AW,AW,W,W,W,W,W,W,W,W,W,W,W,W,W,AW,AW,AW
1981-10-04,ASW,SW,ASW,ASW,AW,AW,AW,AW,A,A,A,A,ASW,ASW,ASW,ASW,ASW,ASW,A,ASW,ASW,ASW,A,SW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW
1981-10-05,S,S,S,S,SW,ASW,ASW,ASW,A,A,AS,AS,S,S,S,ASW,ASW,SW,ASW,S,S,S,S,SW,W,W,SW,SW,SW,SW,SW,SW,SW,SW,SW,AS,SW,SW,SW
1981-10-06,SW,SW,SW,SW,SW,ASW,ASW,ASW,A,A,A,A,SW,SW,SW,ASW,ASW,ASW,A,C,C,AS,AS,A,A,AW,AW,AW,AW,AW,W,W,W,W,W,A,A,A,ASW
1981-10-07,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,A,A,A,A,E,E,AE,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-10-08,A,A,A,A,A,ANE,ANE,ANE,A,A,A,A,A,A,A,A,A,A,SE,A,A,A,A,C,A,A,A,ASE,ASE,ASE,A,A,A,A,A,A,A,A,ASE
1981-10-09,A,A,A,ASW,A,A,A,A,A,A,C,A,A,A,A,A,A,A,C,C,C,C,C,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-10-10,ANW,ANW,AW,AW,ANW,ANW,AW,ANW,C,C,C,C,ANW,A,A,A,A,A,A,A,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-10-11,NW,NW,NW,NW,NW,NW,NW,NW,W,W,NW,NW,NW,NW,NW,NW,NW,NW,A,A,ANW,ANW,NW,A,ANE,A,A,AN,A,A,A,A,A,A,A,ANW,ANW,ANW,ANW
1981-10-12,NW,NW,NW,NW,NW,NW,CNW,NW,CNW,C,NW,NW,NW,NW,NW,NW,NW,NW,ANE,A,ANW,NW,NW,ANE,AN,AN,AN,ANW,ANW,ANW,ANW,ANW,ANW,NW,NW,NW,NW,NW,ANW
1981-10-13,N,N,N,N,N,N,C,C,CNW,CW,NW,NW,N,N,N,NW,NW,N,C,C,C,NW,NW,C,C,C,C,C,C,C,A,A,A,AN,AN,NW,NW,NW,N
1981-10-14,W,W,C,C,ANW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,A,C,A,A,A,A,A,A,A,A,AW,AW,A,A,A,A
1981-10-15,W,W,W,W,W,W,W,W,W,AW,ASW,ASW,W,W,W,AW,AW,C,C,C,C,C,C,C,C,C,A,A,A,A,AW,AW,AW,AW,AW,AW,AW,AW,A
1981-10-16,C,C,C,C,C,C,C,C,C,A,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1981-10-18,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,A,A,C,C,C,A,A,A,A
1981-10-19,AN,AN,AN,A,AN,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,C,CSE,C,C,A,A,A,A,A,AE,ANE,ANE,ANE,A,A,A,A
1981-10-20,ANW,ANW,ANW,AW,AW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,C,C,C,C
1981-10-21,N,C,C,C,C,C,C,C,CSW,SW,SW,SW,C,C,C,C,C,C,CW,C,C,CSW,CSW,C,C,C,C,C,C,C,C,C,CNE,C,C,C,C,C,C
1981-10-22,N,C,C,C,C,C,C,C,CSW,SW,SW,SW,C,CNW,CNW,CNW,CNW,CNW,C,C,C,C,C,C,C,CNE,C,C,C,C,C,C,C,C,C,NW,NW,NW,C
1981-10-23,N,N,N,N,N,C,C,C,C,C,C,C,C,C,C,C,C,N,C,C,C,C,C,E,E,E,E,C,E,E,E,ANE,ANE,NE,NE,NE,C,C,NE
1981-10-24,A,A,AN,A,AN,N,N,N,C,C,N,N,NE,N,NE,N,N,N,E,AE,C,A,C,E,E,E,E,A,AE,AE,AE,A,A,A,A,A,A,A,AE
1981-10-25,W,W,W,W,SW,C,ASW,A,A,A,A,A,ASW,ASW,ASW,A,A,A,NE,AE,A,A,A,ANE,NE,ANE,A,A,A,A,A,ANW,ANW,ANW,ANW,A,A,A,A
1981-10-26,C,C,C,C,C,C,C,C,CS,S,CSW,CSW,C,C,C,C,C,C,N,N,N,CNW,C,N,N,N,N,N,N,N,N,N,N,N,N,CNW,N,N,N
1981-10-27,N,N,C,C,C,C,C,C,C,C,CW,CW,C,CNW,C,CNW,CNW,CNW,A,NW,NW,NW,NW,A,ANE,AN,AN,AN,AN,AN,AN,N,N,N,N,NW,NW,NW,NW
