time,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1993-06-19,C,A,A,ASW,A,A,A,A,A,A,ASE,ASE,AS,AS,AS,A,A,AS,E,C,C,SE,SE,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,C
1993-06-20,C,C,C,C,C,C,C,C,A,A,S,S,C,AS,C,C,C,C,E,C,C,SE,SE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-06-22,C,C,C,C,C,C,C,C,C,AS,S,S,C,C,C,C,C,C,NE,C,C,C,SE,N,N,N,N,N,N,N,C,C,C,C,C,C,C,C,C
1993-06-23,N,C,C,C,C,CW,C,C,C,SW,A,AS,C,C,C,C,C,C,NE,C,C,C,A,N,NE,C,N,N,N,N,C,C,C,C,C,C,C,C,N
1993-06-24,NE,NE,NE,NE,NE,C,C,C,C,C,A,A,NE,ANE,ANE,AN,AN,ANE,E,E,C,AE,ANE,C,C,C,C,C,C,C,C,C,AE,ANE,ANE,A,A,A,C
1993-06-25,A,A,C,C,ANE,ANE,C,C,ANE,ANE,ANE,ANE,AE,AE,AE,A,A,ANE,E,SE,SE,C,AE,C,CE,C,C,C,C,C,SE,E,E,E,E,A,AE,AE,E
1993-06-26,NE,NE,NE,NE,NE,C,C,C,C,C,C,C,C,C,NE,C,C,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,NE,NE,NE,AN,C,C,C
1993-06-27,C,NE,NE,C,C,C,C,C,C,C,C,C,C,C,C,ANE,ANE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,AN,C,C,C
1993-06-28,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NE,C,C,C,C,N,N,C,C,C,C,C,C,C,C,C,C,C,W,W,C
1993-06-29,C,C,C,C,C,CS,C,C,C,C,C,C,C,C,C,C,C,C,NE,C,C,C,C,AN,N,N,N,N,N,N,NW,NW,CNW,CNW,CNW,C,C,C,C
1993-06-30,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NE,C,C,C,C,NE,NE,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-07-01,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NE,E,E,C,C,NE,NE,NE,NE,NE,C,C,C,C,C,C,C,C,C,C,C
1993-07-02,NE,C,C,C,C,C,C,C,C,A,SE,SE,C,A,A,AE,AE,AE,E,E,E,SE,SE,NE,E,E,NE,NE,NE,NE,NE,NE,ANE,ANE,ANE,ANE,C,C,NE
1993-07-03,ANE,ANE,A,A,A,ASE,ASE,ASE,A,A,SE,SE,ASE,ASE,ASE,AE,AE,E,CE,E,E,SE,SE,E,E,E,E,E,E,E,E,E,E,E,E,AE,E,E,E
1993-07-04,E,E,E,SE,AE,SE,SE,SE,A,A,S,S,SE,SE,SE,SE,SE,SE,C,C,CSE,SE,S,C,CE,C,CE,CE,CE,CE,CE,CE,E,E,E,C,CE,CE,CE
1993-07-05,CNE,CNE,C,C,C,C,CS,CS,C,C,C,C,CS,CS,CS,C,C,C,C,C,C,C,C,CNE,C,C,C,C,C,C,C,C,CNE,CNE,CNE,C,C,C,C
1993-07-06,NE,NE,NE,NE,NE,C,C,C,C,C,CNW,C,CNE,CNE,CNE,C,C,C,CNE,C,C,C,C,C,CE,CNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,N,N,N,NE
1993-07-08,A,A,A,A,A,A,C,C,NE,C,ANE,C,A,A,A,A,A,A,E,AE,ASE,AE,AE,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,C
1993-07-09,C,SW,SW,SW,C,A,A,A,A,A,A,A,AS,AS,AS,A,A,AS,C,C,S,S,AS,C,C,C,C,C,C,C,C,C,C,C,C,AS,C,C,C
1993-07-10,N,C,C,C,C,SW,SW,SW,C,ASW,S,S,SW,S,S,SW,SW,S,N,C,C,S,S,N,N,C,N,N,C,C,C,C,C,C,C,C,C,C,C
1993-07-11,N,N,N,N,N,NW,NW,NW,W,W,A,C,N,NW,N,AN,AN,N,E,E,C,C,A,NE,NE,NE,ANE,ANE,ANE,ANE,A,A,A,A,A,AN,AN,AN,ANE
1993-07-12,AN,AN,AN,AN,AN,N,N,N,NW,NW,AN,AN,AN,AN,AN,A,A,AN,E,AE,AE,A,ANE,E,E,E,E,AE,AE,AE,AE,A,A,A,A,A,A,A,AE
1993-07-13,A,A,A,A,A,N,N,N,N,N,AN,AN,A,ANE,A,A,A,ANE,E,AE,AE,A,ANE,E,E,SE,ASE,ASE,ASE,ASE,ASE,A,A,A,A,A,A,A,A
1993-07-14,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,ASE,C,A,A,C,C,C,ASE,ASE,ASE,ASE,A,A,A,A,A,A,A,A,A
1993-07-15,A,A,ASW,ASW,AW,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,C
1993-07-16,A,A,A,ASW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,C
1993-07-17,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,CE,C,C,C,C,C,CE,CE,C,C,C,C,C,C,C,C,C,A,C,C,C
1993-07-18,C,C,A,C,C,C,C,C,C,A,C,C,C,A,A,C,C,C,CNE,CE,C,C,C,NE,CNE,CNE,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-07-19,C,NW,C,C,C,C,C,C,C,C,C,C,C,A,A,C,C,C,CNE,C,C,C,C,NE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-07-20,N,N,N,N,N,C,C,C,C,C,C,C,C,C,C,C,C,C,CNE,C,C,C,C,NE,CNE,NE,NE,NE,NE,NE,NE,NE,ANE,ANE,ANE,N,C,C,NE
1993-07-21,AN,N,N,AN,N,N,N,N,C,C,C,C,NE,NE,NE,N,N,N,E,E,NE,NE,NE,E,E,E,E,E,E,E,AE,ANE,ANE,ANE,ANE,AN,ANE,ANE,NE
1993-07-22,AN,AN,AN,AN,AN,N,N,N,N,N,N,N,N,N,NE,AN,AN,N,E,A,A,AN,N,E,E,E,AE,AE,AE,AE,AE,A,A,A,A,A,A,A,A
1993-07-24,C,SW,ASW,ASW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,A,ASW,ASW,C
1993-07-25,AN,ANW,A,A,ANW,AW,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-07-26,NE,AN,AN,AN,AN,C,C,C,C,C,C,C,ANE,ANE,ANE,C,C,C,CNE,C,C,C,C,NE,C,C,NE,C,E,E,E,E,NE,NE,NE,N,C,C,NE
1993-07-27,A,A,A,A,A,ANE,C,C,C,C,C,C,A,A,A,ANE,ANE,ANE,E,AE,ANE,NE,NE,E,E,AE,AE,A,AE,AE,A,A,A,A,A,A,A,A,AE
1993-07-28,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,AE,A,A,A,A,A,A,A,A,ASE,ASE,ASE,A,A,A,A,A,A,A,A
1993-07-29,C,C,C,C,A,A,A,A,A,A,A,A,ASE,ASE,ASE,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
1993-07-30,C,C,C,C,C,C,C,C,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,N,CNE,CNE,C,C,C,C,C,C,C,C,C,C,C,C,CE
1993-07-31,NE,NE,ANE,ANE,N,C,C,C,C,C,C,C,NE,ANE,ANE,C,C,NE,CE,E,C,C,C,NE,CE,E,E,E,E,E,E,E,E,NE,NE,NE,NE,NE,NE
1993-08-01,C,C,NE,C,NE,E,NE,NE,NE,C,C,C,E,E,E,C,C,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-08-02,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
1993-08-03,A,A,C,C,C,C,C,C,C,C,C,C,ASE,ASE,ASE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
1993-08-04,C,C,C,C,C,C,C,C,C,C,C,C,C,ASE,ASE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
1993-08-05,AN,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,C
1993-08-06,NE,NE,NE,NE,NE,NE,NE,NE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-08-07,CNE,CNE,CNE,C,C,CNE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-08-09,N,N,N,N,N,CNE,CNE,C,C,C,C,C,NE,NE,NE,N,N,N,C,C,C,C,C,C,C,E,NE,NE,NE,NE,C,ANE,ANE,ANE,ANE,N,N,N,NE
1993-08-10,N,N,N,N,N,C,C,N,NW,C,NW,C,AN,AN,AN,N,N,N,C,C,C,C,C,C,C,C,C,C,AE,AE,AE,A,A,AN,AN,AN,AN,AN,C
1993-08-11,AN,AN,AN,A,A,C,C,C,C,C,C,C,ANE,ANE,A,AN,AN,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,C
1993-08-12,A,A,C,A,A,A,A,A,A,A,C,C,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,C
1993-08-13,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-08-14,C,C,CS,S,C,C,C,C,C,A,C,C,SE,S,SE,C,C,C,C,C,C,C,C,NE,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
1993-08-15,A,A,C,C,C,C,C,C,C,C,C,C,C,ASE,ASE,C,C,C,E,C,C,C,C,NE,C,C,C,C,C,C,C,A,AE,AE,AE,A,C,C,C
1993-08-16,C,C,C,C,C,C,C,C,C,C,C,C,C,C,SE,C,C,C,C,C,CSE,C,C,C,C,C,C,C,C,C,C,C,C,E,E,A,C,C,C
1993-08-17,E,E,E,E,E,C,C,C,C,C,C,C,C,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-08-18,C,C,C,C,C,C,C,NE,C,C,C,C,C,C,A,C,C,C,E,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,C
1993-08-19,A,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,E,C,A,C,C,C,A,A,A,A,A,A,A,A,AE,AE,AE,A,A,A,A
1993-08-20,A,C,C,ANE,ANE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,A,C,C,A,C,A,A,A,A,C,C,C
1993-08-21,C,C,C,C,C,A,A,A,A,A,C,C,ASE,ASE,ASE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,C
1993-08-22,C,C,C,C,C,C,C,A,A,A,AS,AS,C,S,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
1993-08-23,C,C,CE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-08-25,C,CE,CE,CE,E,CE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-08-26,C,C,C,C,CE,C,C,C,C,C,C,C,C,C,C,C,C,C,NE,C,C,C,C,N,C,C,C,C,C,C,C,C,C,C,C,CW,CNW,CNW,C
1993-08-27,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NE,C,C,C,C,NE,N,N,N,N,N,N,N,N,N,C,C,NW,N,N,N
1993-08-28,NE,NE,NE,NE,NE,C,C,C,C,C,C,C,C,N,NE,N,N,N,E,E,C,C,C,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,N,N,N,NE
1993-08-29,NE,NE,NE,NE,NE,NE,NE,NE,NE,C,C,C,NE,NE,NE,NE,NE,NE,E,E,E,E,NE,E,E,E,E,E,E,E,E,AE,ANE,ANE,ANE,ANE,ANE,ANE,E
1993-08-30,A,A,A,A,A,ANE,ANE,ANE,ANE,NE,NE,NE,A,ANE,A,ANE,ANE,ANE,E,AE,AE,AE,E,SE,SE,SE,SE,SE,SE,SE,ASE,AE,AE,A,A,A,A,A,AE
1993-08-31,NE,NE,NE,NE,NE,C,C,C,C,C,C,C,C,C,C,C,C,C,E,C,C,C,C,CSE,SE,SE,C,C,SE,SE,SE,C,C,E,E,A,A,A,C
1993-09-01,NE,E,E,E,E,E,C,C,C,C,C,C,E,E,E,C,C,C,CE,C,C,C,C,C,C,CE,CE,CE,CE,CE,CE,E,E,E,E,C,C,C,C
1993-09-02,C,C,C,AE,AE,C,C,C,C,C,C,C,AE,AE,AE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-09-03,C,C,C,C,C,C,C,C,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-09-04,N,NE,NE,NE,C,C,C,C,CSW,SW,CW,C,C,C,C,CNW,CNW,C,NE,C,C,C,C,N,C,C,N,N,C,C,C,C,C,NE,NE,NW,NW,NW,N
1993-09-05,C,NE,NE,NE,NE,CNE,C,C,CNW,CNW,C,C,NE,NE,NE,N,N,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-09-06,C,C,SE,SE,C,AS,A,A,A,A,C,A,C,C,C,C,C,C,C,C,C,C,C,ANW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-09-07,SW,SW,S,S,SW,SW,S,S,A,A,AS,AS,S,S,S,SW,SW,S,A,C,C,SW,S,AW,AW,AW,AW,W,W,W,W,W,SW,SW,SW,SW,SW,SW,C
1993-09-08,SW,SW,SW,SW,SW,SW,ASW,ASW,A,AS,AS,AS,SW,SW,SW,SW,SW,SW,A,C,C,SW,SW,ANW,A,AW,AW,AW,AW,AW,AW,AW,ASW,SW,SW,ASW,ASW,ASW,A
1993-09-10,A,ANW,AW,AW,ANW,C,AW,AW,AW,ASW,ASE,ASE,A,A,A,A,A,A,NE,C,C,C,C,AN,ANE,ANE,AN,AN,A,A,A,A,A,A,A,A,A,A,ANE
1993-09-11,ANW,NW,C,AW,ANW,C,A,C,C,C,C,C,A,A,A,C,C,C,ANE,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,ANW,ANW,ANW,AN
1993-09-12,SW,SW,SW,SW,C,AW,ANW,ANW,ANW,ANW,C,A,AW,ASW,ASW,AW,AW,AW,A,A,ASW,A,A,A,A,A,AW,AW,AW,AW,W,W,W,SW,SW,AW,AW,AW,AW
1993-09-13,W,CSW,SW,SW,SW,SW,SW,SW,ASW,ASW,SW,S,SW,SW,SW,SW,SW,SW,AN,C,C,SW,SW,AN,ANW,ANW,ANW,ANW,NW,NW,W,W,W,W,W,W,W,W,ANW
1993-09-14,W,W,W,W,W,W,AW,AW,ASW,ASW,AS,AS,W,AW,W,A,A,AW,ANE,A,A,C,A,A,A,A,A,A,A,A,A,A,AW,AW,AW,AW,ANW,ANW,A
1993-09-15,W,W,SW,SW,W,AW,A,A,A,A,A,A,ASW,ASW,ASW,A,A,A,A,A,A,A,A,A,A,A,AW,AW,AW,AW,AW,W,W,W,W,AW,AW,AW,A
1993-09-16,C,C,C,C,C,A,A,A,A,A,C,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,AW,AW,C
1993-09-17,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-09-18,CE,CE,E,SE,SE,SE,SE,SE,C,C,C,C,SE,SE,SE,CS,CS,CSE,C,C,C,C,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-09-19,C,C,C,SE,SE,SE,SE,SE,E,SE,SE,SE,SE,SE,SE,C,C,C,NE,C,C,C,SE,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-09-20,A,A,S,S,A,SE,SE,SE,E,E,SE,SE,SE,ASE,ASE,A,A,A,E,E,C,C,SE,A,C,C,C,C,A,A,A,A,A,A,A,A,A,A,C
1993-09-21,C,C,C,S,A,SE,ASE,ASE,AE,ASE,SE,ASE,SE,SE,SE,A,A,C,C,C,C,C,SE,C,C,C,C,C,C,C,C,C,C,C,C,ASE,C,C,SE
1993-09-22,C,C,CS,CS,CS,S,S,S,ASE,A,S,S,S,S,S,S,S,S,C,C,CS,S,S,N,C,C,C,C,C,C,C,C,C,C,C,S,CS,CS,C
1993-09-23,C,C,C,C,C,CS,S,S,S,S,S,S,CS,CS,CS,CS,CS,CS,N,C,C,CS,S,N,N,N,N,N,C,C,C,C,C,C,C,C,C,C,C
1993-09-24,C,C,C,C,C,C,CSW,CSW,S,S,S,S,C,C,C,C,C,C,NW,CNW,CNW,C,SW,N,NW,NW,N,N,N,N,C,C,C,C,C,C,C,C,C
1993-09-26,N,N,N,NW,NW,NW,C,C,W,AW,C,C,C,ANW,C,ANW,ANW,C,C,C,C,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1993-09-27,C,C,C,C,C,A,A,A,A,A,C,C,A,A,A,C,C,C,C,CE,C,C,C,NE,CNE,C,CNE,CNE,C,C,C,C,C,C,C,C,C,C,C
1993-09-28,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,ANE,C,C,C,C,A,A,A,A,A,A,A,AN,C,C,C
1993-09-29,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,C,C,C,A,A,A,ASW,ASW,ASW,C,C,C,C,A,AW,AW,A
1993-09-30,SW,SW,SW,SW,SW,C,C,C,A,A,C,A,S,S,S,SW,SW,S,C,C,C,S,S,ANW,C,C,W,W,W,W,W,SW,SW,SW,SW,SW,SW,SW,C
1993-10-01,W,SW,SW,SW,SW,SW,SW,SW,S,S,S,S,SW,SW,SW,SW,SW,SW,ANW,W,W,SW,SW,ANW,ANW,NW,W,W,W,W,W,W,W,W,W,W,W,W,W
1993-10-02,CW,C,C,C,C,CSW,CSW,CSW,SW,SW,SW,SW,C,CSW,C,CW,CW,CW,ANW,NW,W,W,W,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,W,NW,NW,NW
1993-10-03,NW,NW,NW,NW,CNW,C,C,C,C,C,CNW,C,CNW,CNW,CNW,CNW,CNW,CNW,AN,NW,NW,NW,NW,A,ANW,ANW,ANW,ANW,ANW,ANW,NW,ANW,NW,NW,NW,NW,NW,NW,NW
1993-10-04,AW,AW,AW,AW,AW,NW,CNW,CNW,CNW,CNW,NW,NW,C,NW,C,NW,NW,NW,A,AW,AW,NW,NW,A,A,A,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
1993-10-05,SW,SW,SW,SW,SW,SW,ASW,ASW,A,A,ASW,ASW,SW,SW,SW,SW,SW,SW,AW,SW,SW,SW,SW,W,W,W,W,W,W,W,W,W,SW,SW,SW,SW,SW,SW,SW
1993-10-06,SW,SW,SW,SW,SW,SW,SW,SW,ASW,ASW,ASW,AS,SW,SW,SW,SW,SW,SW,A,C,C,SW,SW,W,W,W,W,W,W,W,W,W,W,W,W,SW,W,W,W
1993-10-07,SW,SW,SW,SW,SW,SW,SW,SW,AS,AS,S,S,S,S,S,S,S,S,C,C,C,C,S,C,C,W,W,W,W,W,W,SW,SW,SW,SW,SW,SW,SW,C
1993-10-08,W,W,W,W,CW,SW,SW,SW,SW,S,S,S,SW,SW,SW,C,C,C,A,A,C,C,C,A,A,A,A,A,AW,AW,AW,AW,W,W,W,W,ANW,ANW,ANW
1993-10-09,ASW,SW,ASW,ASW,AW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,SW,SW,ASW,ASW,SW,SW,SW,ASW,ASW,ASW,ASW,ASW,A,ASW,ASW,ASW
1993-10-10,SW,SW,SW,SW,SW,ASW,A,A,A,A,C,A,SW,SW,SW,ASW,ASW,SW,A,ASW,C,C,C,SW,W,W,W,W,SW,SW,SW,SW,SW,SW,SW,ASW,ASW,ASW,ASW
1993-10-11,SW,SW,SW,SW,SW,ASW,ASW,A,A,A,AS,A,SW,SW,S,ASW,ASW,SW,ASW,SW,SW,SW,SW,W,W,W,W,SW,SW,SW,SW,SW,SW,SW,SW,ASW,SW,SW,SW
1993-10-12,SW,SW,SW,SW,SW,SW,ASW,SW,ASW,ASW,AS,AS,SW,SW,SW,SW,SW,SW,A,C,C,SW,SW,SW,W,W,W,W,W,W,W,W,W,SW,SW,ASW,ASW,ASW,SW
1993-12-17,ANW,ANW,ANW,ANW,ANW,NW,ANW,NW,NW,W,NW,NW,ANW,ANW,ANW,ANW,ANW,ANW,A,A,A,ANW,ANW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1993-12-18,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1993-12-19,A,AW,AW,AW,AW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1993-12-20,W,W,W,W,W,W,W,W,AW,AW,ANW,A,W,AW,AW,ANW,ANW,AW,A,A,ANW,A,ANW,A,A,A,A,A,A,A,A,A,AW,AW,AW,AW,A,A,A
1993-12-21,NW,NW,NW,NW,NW,NW,W,W,W,W,W,W,NW,NW,NW,NW,NW,NW,A,NW,NW,W,W,N,N,N,N,N,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1993-12-22,ANW,ANW,ANW,ANW,ANW,NW,NW,NW,NW,NW,NW,NW,ANW,ANW,ANW,AN,AN,ANW,A,A,A,A,NW,AE,ANE,ANE,A,A,A,A,A,A,A,A,A,A,A,A,A
1993-12-23,W,W,W,W,W,W,W,W,AW,AW,AW,AW,W,AW,W,AW,AW,W,A,A,A,AW,AW,A,A,A,A,A,A,A,A,ANW,ANW,AW,AW,AW,AW,AW,A
1993-12-24,NW,CNW,CNW,CNW,CW,CW,CW,W,SW,SW,W,W,CW,CW,CW,W,W,W,NW,NW,NW,W,W,N,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1993-12-25,CNW,CNW,CNW,C,C,C,C,CW,CW,CW,W,W,CNW,CNW,CNW,CNW,CNW,CNW,NW,NW,NW,W,W,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1993-12-26,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NW,CNW,CNW,CNW,CNW,N,NW,NW,NW,NW,NW,NW,N,N,C,C,C,CNW,CNW,CNW,NW
1993-12-27,N,N,N,N,NE,C,C,C,C,C,CNW,CNW,C,C,C,C,C,C,N,NW,CNW,CNW,CNW,N,N,NW,NW,NW,NW,NW,NW,N,N,N,N,NW,NW,NW,NW
1993-12-28,C,C,C,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C,C,C,C,ANW,ANW,NW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,C,NW,NW,NW
1993-12-29,AW,AW,AW,A,A,A,C,C,C,C,C,C,A,A,A,A,A,A,A,AN,A,N,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1993-12-30,A,AW,AW,A,A,A,A,A,A,ANE,N,N,A,A,A,AN,AN,A,A,A,AN,N,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1993-12-31,W,W,W,W,W,AW,A,A,A,A,AN,AN,ASW,ASW,ASW,A,A,AW,A,AW,AW,AW,ANW,A,AW,AW,AW,AW,AW,AW,AW,W,W,W,W,AW,A,A,AW
1994-01-02,AW,W,W,W,NW,NW,N,N,N,C,NW,NW,NW,NW,NW,NW,NW,NW,A,A,ANW,NW,NW,A,A,A,A,A,A,A,A,A,A,ANW,ANW,ANW,ANW,ANW,A
1994-01-03,W,W,W,W,W,W,W,W,C,C,NW,NW,W,W,W,W,W,W,AW,W,W,W,W,AW,AW,AW,AW,AW,AW,AW,W,W,W,W,W,W,W,W,W
1994-01-04,W,W,W,W,W,W,SW,SW,SW,SW,SW,SW,W,W,W,W,W,W,ANW,W,W,W,W,ANW,ANW,ANW,ANW,ANW,NW,NW,NW,W,W,W,W,W,W,W,NW
1994-01-05,W,W,W,W,W,W,W,W,W,W,AW,AW,W,W,W,AW,AW,W,A,A,A,AW,AW,A,A,AW,AW,AW,AW,AW,AW,AW,W,W,W,AW,AW,AW,AW
1994-01-06,SW,SW,SW,SW,SW,SW,SW,SW,ASW,ASW,SW,SW,SW,SW,SW,SW,SW,SW,W,SW,SW,SW,SW,W,W,W,W,W,W,W,W,W,SW,SW,SW,SW,SW,SW,SW
1994-01-07,C,C,C,CSW,CSW,SW,SW,SW,S,S,S,S,CS,S,S,CSW,CSW,CS,NW,C,C,C,SW,NW,NW,NW,NW,NW,NW,NW,CNW,CNW,CNW,CNW,CNW,C,CNW,CNW,CNW
1994-01-08,C,C,C,C,C,CE,CSE,CSE,CSE,SE,C,C,CNE,CNE,CNE,C,C,C,AN,N,C,C,C,A,ANW,ANW,ANW,NW,ANW,ANW,NW,NW,NW,NW,NW,N,N,N,NW
1994-01-09,W,SW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,W,NW,NW,CNW,AW,AW,AW,AW,AW,AW,AW,AW,W,W,W,W,W,W,W,AW
1994-01-10,CW,CSW,CSW,CSW,CSW,CSW,CSW,CSW,C,C,W,W,CSW,CSW,CSW,CSW,CSW,CSW,W,W,W,W,W,NW,NW,NW,W,W,W,W,W,W,W,W,W,W,W,W,W
1994-01-11,NW,NW,NW,NW,C,C,C,C,C,C,CW,C,C,CNW,CNW,CNW,CNW,CNW,ANW,NW,NW,NW,CNW,A,ANW,ANW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1994-01-12,A,AW,A,A,A,N,N,N,C,C,C,C,N,N,N,N,N,N,A,ANW,NW,NW,N,A,A,A,A,A,A,A,A,A,A,A,A,ANW,ANW,ANW,A
1994-01-13,A,A,A,A,A,A,A,A,A,ANE,N,N,A,A,A,A,A,A,A,A,A,AN,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1994-01-14,ANW,ANW,A,A,ANW,C,C,C,C,A,NW,NW,C,A,A,A,A,A,A,A,A,A,NW,A,A,A,ANW,ANW,ANW,ANW,ANW,ANW,ANW,A,A,A,NW,NW,NW
1994-01-15,W,W,C,C,C,C,C,C,CNW,C,NW,NW,C,C,C,NW,NW,NW,AN,NW,NW,NW,NW,AN,ANW,ANW,NW,NW,NW,NW,NW,NW,W,W,W,NW,NW,NW,NW
